Name,Positions,Age,OVA,Potential,Team,Contract,Value,Wage,Total
22 M. Biegański,GK,19,62,73,Wisła Kraków,2021 ~ 2025,€750K,€500,948
S. Aigner,CDM,21,62,72,SC Rheindorf Altach,2021 ~ 2024,€850K,€2K,1592
A. Goodwin,ST,17,57,72,Newcastle Jets,2021 ~ 2023,€375K,€500,1375
21 M. Ahlblad,GK,17,50,69,HJK Helsinki,2021 ~ 2021,€100K,€500,894
T. Lonergan,ST,18,54,65,UCD AFC,2022 ~ 2022,€230K,€500,1346
L. Joseph,ST,21,65,74,FC Metz,2021 ~ 2024,€1.6M,€2K,1541
22 B. Jenciragic,GK,21,61,70,FC Flyeralarm Admira,2021 ~ 2025,€650K,€1K,1097
22 R. Hellermann,ST,21,57,66,FC Flyeralarm Admira,2021 ~ 2022,€375K,€2K,1445
André Barbosa,RWB,21,59,67,SC Freiburg II,2019 ~ 2023,€475K,€550,1483
22 J. Engel,RM,20,58,69,SC Freiburg II,2020 ~ 2022,€450K,€650,1493
C. Kammerknecht,CB,22,62,69,SG Dynamo Dresden,2022 ~ 2026,€750K,€1K,1389
P. Treu,RM,21,61,67,SC Freiburg II,2019 ~ 2023,€525K,€700,1541
L. Herrmann,CM,23,62,70,SG Dynamo Dresden,2021 ~ 2024,€875K,€2K,1723
J. Makengo,CB,20,56,69,SC Freiburg II,2021 ~ 2025,€325K,€550,1295
E. Leopold,CM,21,63,70,Hannover 96,2022 ~ 2024,€975K,€4K,1634
21 I. Velazquez,CB,20,53,62,12 de Octubre FC,2021 ~ 2021,€190K,€2K,1239
S. Risch,LM,22,59,66,SV Meppen,2022 ~ 2024,€450K,€500,1536
G. Furrer,ST,21,60,68,SC Freiburg II,2020 ~ 2023,€550K,€750,1478
22 M. Świdzikowski,CB,31,60,60,Radomiak Radom,2009 ~ 2023,€170K,€800,1406
D. Sokół,ST,23,59,68,Radomiak Radom,2017 ~ 2023,€500K,€1K,1446
22 D. Banach,LM,17,54,71,Radomiak Radom,2021 ~ 2023,€275K,€500,1335
M. Kaput,CDM,24,65,68,Piast Gliwice,2022 ~ 2025,€875K,€2K,1571
Leândro,RM,33,66,66,Radomiak Radom,2012 ~ 2024,€525K,€2K,1641
22 D. Kąkolewski,GK,25,58,63,Bruk-Bet Termalica Nieciecza,2020 ~ 2023,€240K,€1K,990
22 K. Bartoszek,GK,19,52,67,Bruk-Bet Termalica Nieciecza,2019 ~ 2022,€170K,€500,912
22 M. Bezpalec,CB,24,63,67,Bruk-Bet Termalica Nieciecza,2019 ~ 2022,€625K,€2K,1526
M. Grzybek,RB,26,64,66,Radomiak Radom,2022 ~ 2025,€675K,€2K,1654
22 P. Czarnowski,ST,23,58,62,Bruk-Bet Termalica Nieciecza,2020 ~ 2022,€300K,€1K,1429
22 M. Amedick,CDM,19,58,73,Borussia Dortmund II,2021 ~ 2022,€450K,€500,1458
22 M. Vasiľ,CAM,20,56,66,Bruk-Bet Termalica Nieciecza,2021 ~ 2023,€325K,€1K,1443
22 A. Radwański,CAM,23,63,66,Bruk-Bet Termalica Nieciecza,2020 ~ 2022,€650K,€2K,1734
22 J. Pek,CDM,20,54,64,Bruk-Bet Termalica Nieciecza,2020 ~ 2024,€220K,€900,1447
22 M. Hubínek,CDM,26,62,64,Bruk-Bet Termalica Nieciecza,2021 ~ 2023,€450K,€2K,1612
A. Iacob,CB,33,62,62,CS Mioveni,2020 ~ 2023,€190K,€1K,1417
Guilherme Garutti,CB,28,64,65,CS Mioveni,2020 ~ 2023,€550K,€2K,1515
22 M. Chindriș,CDM,29,57,57,CS Mioveni,2020 ~ 2022,€140K,€1K,1517
S. Vereș,CDM,26,62,64,CS Mioveni,2020 ~ 2023,€450K,€1K,1580
22 L. Klußmann,GK,18,54,71,Borussia Dortmund II,2021 ~ 2022,€240K,€500,912
22 T. Malbec,GK,19,59,70,FC Girondins de Bordeaux,2021 ~ 2022,€425K,€1K,897
M. Bokele,CB,22,64,73,FC Girondins de Bordeaux,2021 ~ 2024,€1.2M,€2K,1426
A. Thomas,GK,23,57,64,Seattle Sounders FC,2021 ~ 2023,€275K,€850,883
22 J. Lewald,CB,22,64,70,FC Viktoria 1889 Berlin,2020 ~ 2023,€850K,€850,1389
22 J. Fjeldberg,RW,22,52,60,FC Cincinnati,2021 ~ 2025,€180K,€1K,1307
22 D. Stirpe,RB,18,58,73,Academia Puerto Cabello,2018 ~ 2022,€450K,€500,1471
S. Berger,CAM,19,62,75,Viborg FF,2020 ~ 2024,€950K,€1K,1606
Y. Bakiz,LW,23,64,70,Viborg FF,2020 ~ 2023,€925K,€3K,1627
I. Said,RW,20,61,73,Viborg FF,2020 ~ 2024,€800K,€2K,1475
C. Wagner,ST,19,54,69,Viborg FF,2021 ~ 2023,€250K,€1K,1263
M. Søndergaard,CM,19,56,69,Viborg FF,2020 ~ 2026,€350K,€1K,1494
22 J. Sivi,RM,18,52,69,Middlesbrough,2021 ~ 2023,€200K,€1K,1291
B. Washington,CB,23,58,65,Atlanta United,2021 ~ 2026,€375K,€1K,1346
22 S. Okaniwa,RB,21,58,66,FC Tokyo,2021 ~ 2023,€425K,€1K,1451
22 T. Gunte,CB,24,63,68,FC Viktoria 1889 Berlin,2016 ~ 2022,€650K,€750,1399
22 Y. Becker,LM,30,61,61,FC Viktoria 1889 Berlin,2019 ~ 2022,€325K,€800,1511
22 A. Soussi,LW,18,57,72,Royal Antwerp FC,2021 ~ 2024,€375K,€1K,1432
R. Van Hauter,CDM,19,56,70,KAA Gent,2021 ~ 2024,€325K,€2K,1479
S. Thórdarson,CM,23,65,73,Silkeborg IF,2020 ~ 2024,€1.6M,€3K,1695
O. Fuglsang,RB,20,54,68,Silkeborg IF,2021 ~ 2025,€250K,€1K,1406
A. Al Hurabi,CDM,25,59,64,Al Tai,2016 ~ 2024,€300K,€3K,1507
H. Al Jubairi,CB,30,61,61,Al Tai,2021 ~ 2023,€275K,€3K,1437
M. Al Shammari,LB,21,61,71,Al Nassr,2020 ~ 2026,€700K,€4K,1474
M. Caputo,ST,16,50,70,Melbourne City FC,2021 ~ 2023,€130K,€500,1324
A. Dahl,CM,20,56,70,Silkeborg IF,2021 ~ 2025,€350K,€1K,1490
22 B. Winterbottom,GK,19,54,68,Brentford,2021 ~ 2023,€220K,€2K,943
A. Tsilingiris,GK,21,61,71,APOEL Nicosia FC,2020 ~ 2023,€650K,€500,876
22 Rafael Santos,CB,23,65,70,APOEL Nicosia FC,2020 ~ 2022,€975K,€500,1349
22 M. Kokkinoftas,CDM,18,57,70,,Free,€0,€0,1327
B. Hockenhull,CB,20,56,68,Tranmere Rovers,2022 ~ 2024,€325K,€2K,1302
C. Wheeler,LB,25,63,67,APOEL Nicosia FC,2020 ~ 2023,€625K,€500,1450
F. Zabala,LB,23,67,73,Venezia FC,2022 ~ 2025,€1.5M,€2K,1600
22 T. Crama,CB,19,57,71,Brentford,2020 ~ 2022,€375K,€3K,1339
R. Trevitt,CAM,19,57,72,Brentford,2021 ~ 2024,€400K,€4K,1414
22 W. Hercules,RM,19,53,67,Brentford,2020 ~ 2022,€220K,€4K,1494
22 Carlos Dias,CM,20,62,75,APOEL Nicosia FC,2021 ~ 2024,€950K,€500,1522
N. Pedersen,LM,20,53,67,Silkeborg IF,2021 ~ 2025,€230K,€1K,1337
S. Gavriel,LW,20,61,74,APOEL Nicosia FC,2021 ~ 2023,€800K,€500,1455
22 A. Katsantonis,ST,21,63,73,APOEL Nicosia FC,2018 ~ 2023,€1.1M,€500,1472
K. Sentić,GK,21,63,75,Hajduk Split,2021 ~ 2026,€1M,€500,1017
S. Jurić,CDM,25,67,71,Parma,2021 ~ 2025,€1.3M,€2K,1750
22 M. Čuić,CAM,20,67,77,Hajduk Split,2020 ~ 2024,€2.2M,€500,1698
22 I. Dolček,LM,21,65,76,Futebol Clube de Famalicão,"Jun 30, 2022 On Loan",€1.6M,€500,1656
A. Busch,CB,18,55,70,Silkeborg IF,2020 ~ 2026,€275K,€500,1271
J. Grøn,CM,19,50,65,Silkeborg IF,2020 ~ 2023,€110K,€950,1388
F. Carstensen,RM,20,56,71,Silkeborg IF,2021 ~ 2026,€350K,€1K,1370
L. Pinckert,RB,22,63,69,SV Elversberg,2022 ~ 2024,€725K,€500,1589
22 M. Seiffert,LW,20,60,67,FC Viktoria 1889 Berlin,2020 ~ 2022,€475K,€600,1496
J. Masharipov,LM,28,72,72,Al Nassr,2021 ~ 2023,€2.4M,€27K,1810
22 J. Schuurman,GK,22,58,67,Go Ahead Eagles,2021 ~ 2022,€400K,€1K,900
22 K. Bukusu,CB,19,63,72,N.E.C. Nijmegen,2020 ~ 2022,€975K,€1K,1398
G. Gertsen,CB,19,59,72,N.E.C. Nijmegen,2020 ~ 2023,€500K,€950,1340
K. Corredor,ST,21,63,73,Rodez Aveyron Football,2022 ~ 2025,€1.1M,€1K,1572
A. Aydın,CAM,21,56,65,GZT Giresunspor,2018 ~ 2023,€325K,€2K,1459
22 A. Kılıç,CB,16,56,70,GZT Giresunspor,2020 ~ 2022,€300K,€500,1251
E. Akdağ,CDM,25,60,64,GZT Giresunspor,2020 ~ 2025,€300K,€2K,1643
22 K. Hovi,ST,27,60,60,FC Viktoria 1889 Berlin,2020 ~ 2022,€275K,€800,1521
22 T. Muschkowski,RW,20,55,65,FC Viktoria 1889 Berlin,2020 ~ 2023,€275K,€550,1452
22 Luiz Gustavo,RB,21,60,67,FC Arouca,2020 ~ 2024,€475K,€900,1435
H. Bilazer,RB,27,64,65,GZT Giresunspor,2020 ~ 2023,€625K,€3K,1670
22 H. Tut,LB,30,63,63,GZT Giresunspor,2020 ~ 2022,€425K,€3K,1569
S. Piçinciol,CB,26,64,64,GZT Giresunspor,2020 ~ 2023,€550K,€3K,1456
22 G. Burroughs,CB,18,54,73,Coventry City,2021 ~ 2023,€250K,€850,1243
22 H. Nee,ST,18,54,71,Coventry City,2021 ~ 2023,€275K,€1K,1317
L. Rosier,CM,23,69,76,Estoril Praia,2020 ~ 2023,€2.8M,€4K,1815
22 Carles Soria,RB,24,69,74,Estoril Praia,2020 ~ 2023,€2M,€3K,1656
22 Undabarrena,CM,28,64,64,Burgos CF,2018 ~ 2022,€575K,€2K,1748
R. Popa,GK,19,64,77,FC U Craiova 1948,2020 ~ 2025,€1.2M,€1K,986
Córdoba,CB,27,67,70,Burgos CF,2019 ~ 2024,€1.2M,€3K,1536
S. Mogoșanu,GK,29,60,62,FC U Craiova 1948,2018 ~ 2023,€200K,€2K,962
Miki Muñoz,CM,27,66,67,Burgos CF,2020 ~ 2024,€975K,€3K,1789
M. Aidara,CB,25,67,73,FC Vizela,2017 ~ 2023,€1.4M,€2K,1406
F. Cann,LW,24,65,70,FC Vizela,2017 ~ 2023,€1.1M,€2K,1567
Kiko Bondoso,RW,26,71,72,FC Vizela,2019 ~ 2024,€2.2M,€5K,1757
22 H. Zagbayou,CDM,31,67,67,FC Vizela,2017 ~ 2022,€725K,€2K,1697
22 Marcelo Machado,CDM,22,63,70,FC Vizela,2021 ~ 2023,€925K,€1K,1556
22 Thales,RB,27,70,70,FC Arouca,2018 ~ 2023,€1.5M,€5K,1705
22 Adílio Santos,RW,27,66,66,FC Arouca,2017 ~ 2023,€900K,€3K,1665
22 Brunão,CB,24,64,70,FC Arouca,2020 ~ 2023,€850K,€2K,1340
Mateus Quaresma,LB,25,69,74,FC Arouca,2020 ~ 2024,€1.9M,€4K,1609
22 Fernando Castro,GK,24,65,71,FC Arouca,2020 ~ 2023,€925K,€1K,916
Y. Moses,CM,23,63,70,FC Arouca,2017 ~ 2024,€950K,€2K,1729
R. Negru,RB,23,66,73,FC U Craiova 1948,2018 ~ 2024,€1.6M,€3K,1640
D. Albu,CDM,21,66,74,FC U Craiova 1948,2020 ~ 2024,€1.8M,€3K,1839
A. Raicea,RM,25,61,63,FC U Craiova 1948,2017 ~ 2023,€400K,€2K,1466
C. Bălan,ST,28,64,64,FC U Craiova 1948,2017 ~ 2023,€600K,€4K,1555
22 R. Răducanu,ST,23,55,61,FC U Craiova 1948,2018 ~ 2022,€200K,€2K,1342
A. Compagno,ST,26,66,69,FC U Craiova 1948,2020 ~ 2023,€1.1M,€5K,1552
D. Ispas,CB,28,62,64,Universitatea Cluj,2021 ~ 2023,€400K,€1K,1366
W. Baeten,RM,25,66,69,FC U Craiova 1948,2020 ~ 2023,€1.1M,€4K,1799
V. Pop,CM,21,57,67,CS Mioveni,"Jun 30, 2023 On Loan",€375K,€2K,1606
I. Zanfir,CM,21,54,63,FC U Craiova 1948,2019 ~ 2023,€240K,€2K,1476
A. Blidar,RM,19,53,66,FC U Craiova 1948,2020 ~ 2023,€220K,€1K,1376
22 A. Miutescu,RW,17,51,69,FC U Craiova 1948,2020 ~ 2023,€150K,€500,1275
V. Drăghia,GK,31,58,58,Rapid București,2018 ~ 2023,€110K,€1K,1047
C. Ignat,CB,19,56,73,Rapid București,2020 ~ 2023,€350K,€950,1348
22 A. Nastos,CB,32,58,58,Rapid București,2020 ~ 2022,€130K,€1K,1306
22 L. Goge,LB,29,61,61,Rapid București,2017 ~ 2022,€300K,€2K,1581
C. Hlistei,LW,27,62,62,Universitatea Cluj,2022 ~ 2022,€425K,€1K,1777
22 Beñat Garro,CB,23,60,66,SD Amorebieta,2019 ~ 2022,€350K,€1K,1379
22 Iker Bilbao,CM,25,64,67,SD Amorebieta,2018 ~ 2022,€775K,€2K,1739
22 Iker Unzueta,ST,22,64,71,SD Amorebieta,2020 ~ 2022,€1.2M,€2K,1530
Koldo Obieta,ST,28,64,64,Miedź Legnica,2022 ~ 2024,€600K,€1K,1476
22 Iker Seguín,LWB,31,66,66,SD Amorebieta,2015 ~ 2022,€625K,€2K,1707
22 Zarrabeitia,RWB,27,60,60,SD Amorebieta,2017 ~ 2022,€240K,€1K,1460
22 Gorka Larrucea,CDM,28,67,67,SD Amorebieta,2020 ~ 2022,€900K,€3K,1721
22 Iñigo Orozco,ST,28,64,64,SD Amorebieta,2018 ~ 2022,€600K,€2K,1602
22 Unai Marino,GK,21,64,76,SD Amorebieta,2021 ~ 2022,€1.3M,€950,909
Álex Petxa,RB,25,66,71,Athletic Club de Bilbao,2021 ~ 2024,€1.2M,€6K,1775
Unai Ruiz,GK,22,57,67,SD Eibar,2022 ~ 2023,€325K,€1K,873
22 Unai Veiga,CM,22,64,73,Unión Deportiva Las Palmas,2021 ~ 2024,€1.3M,€2K,1683
22 Ezkurdia,LB,22,68,78,Real Sociedad B,2020 ~ 2022,€2.6M,€3K,1613
22 Iñaki Recio,LB,21,63,73,Real Sociedad B,2019 ~ 2023,€1M,€1K,1526
Ander Martín,LW,21,65,74,Real Sociedad,2020 ~ 2024,€1.6M,€6K,1688
22 Dani Garrido,CM,21,63,73,Real Sociedad B,2019 ~ 2022,€1.1M,€1K,1674
22 Jorge Aguirre,ST,21,61,72,CD Mirandés,"Jun 30, 2022 On Loan",€750K,€1K,1451
22 N. Muci,ST,18,53,73,FC Lugano,2021 ~ 2025,€250K,€800,1326
S. McGill,CM,20,57,72,Heart of Midlothian,2018 ~ 2023,€400K,€1K,1588
R. Austin,CB,19,54,67,Wrexham AFC,2021 ~ 2023,€240K,€500,1257
J. Bickerstaff,ST,20,55,65,Wrexham AFC,2020 ~ 2024,€275K,€500,1382
M. Cleworth,CB,19,59,70,Wrexham AFC,2020 ~ 2024,€450K,€500,1351
22 L. McCowan,LM,23,64,69,Dundee FC,2021 ~ 2023,€875K,€2K,1592
Rodado,ST,25,65,70,UD Ibiza,2018 ~ 2023,€1.1M,€2K,1604
Chanza,GK,24,62,70,UD Ibiza,2019 ~ 2023,€775K,€950,1003
Mateo,CM,20,60,70,Girona FC,2020 ~ 2022,€550K,€3K,1655
M. Gómez,CM,20,61,78,Club Olimpia,2019 ~ 2023,€850K,€500,1600
J. Braut-Brunes,ST,21,62,72,Strømsgodset IF,2022 ~ 2025,€900K,€850,1615
22 A. Dowling,GK,18,55,72,Blackburn Rovers,2021 ~ 2023,€275K,€500,866
Diego Guti,CDM,21,62,73,Unión Deportiva Las Palmas,2021 ~ 2022,€850K,€1K,1626
N. Noll,GK,19,57,72,TSG Hoffenheim,2021 ~ 2025,€350K,€2K,900
22 M. Young,CM,18,54,68,Leyton Orient,2021 ~ 2023,€250K,€850,1550
R. Byrne,GK,19,55,66,Leyton Orient,2021 ~ 2023,€240K,€750,1027
22 A. Papadopoulos,CM,18,52,63,Leyton Orient,2021 ~ 2022,€170K,€850,1465
22 J. Batioja,CDM,18,58,76,Sociedad Deportiva Aucas,2020 ~ 2023,€500K,€500,1416
22 D. Montiel,CB,23,61,68,CS Emelec,2017 ~ 2022,€600K,€500,1489
22 H. Ramazani,CB,19,51,66,Brisbane Roar,2021 ~ 2022,€130K,€500,1340
21 Franklin Mascote,ST,23,56,56,Club Always Ready,2021 ~ 2021,€170K,€500,1316
D. Proper,CDM,20,67,75,N.E.C. Nijmegen,2020 ~ 2023,€2.1M,€3K,1669
E. Tavşan,RW,21,68,77,N.E.C. Nijmegen,2020 ~ 2023,€2.7M,€4K,1662
22 T. Beekman,CAM,21,63,72,N.E.C. Nijmegen,2020 ~ 2022,€1.1M,€2K,1571
G. Luján,CB,21,62,72,San Lorenzo de Almagro,2021 ~ 2024,€825K,€2K,1472
M. Tol,CB,24,64,70,SC Cambuur,2021 ~ 2024,€850K,€2K,1409
A. Roncaglia,CDM,22,61,68,SC Bastia,2019 ~ 2024,€625K,€900,1495
S. Quemper,LB,29,67,67,En Avant de Guingamp,2022 ~ 2024,€900K,€3K,1683
J. Le Cardinal,RB,24,68,73,Paris FC,2022 ~ 2025,€1.7M,€3K,1620
22 S. Guibert,CB,32,60,60,SC Bastia,2018 ~ 2022,€160K,€1K,1497
M. Diongue,CDM,30,61,61,SC Bastia,2019 ~ 2023,€275K,€1K,1714
K. Schur,RWB,31,64,64,SC Bastia,2018 ~ 2023,€425K,€1K,1794
F. Winther,CM,22,61,69,Tromsø IL,2021 ~ 2024,€725K,€850,1699
22 S. Belkorchia,LB,26,62,63,US Quevilly Rouen Métropole,2021 ~ 2022,€425K,€1K,1461
G. Sangaré,CDM,25,67,73,US Quevilly Rouen Métropole,2018 ~ 2023,€1.4M,€2K,1569
22 J. Rotsen,CM,24,56,61,US Quevilly Rouen Métropole,2019 ~ 2022,€210K,€950,1471
Y. Bahassa,RM,30,64,64,FC U Craiova 1948,2022 ~ 2023,€575K,€3K,1497
22 H. Sharp,GK,20,52,66,Dundee FC,2020 ~ 2023,€170K,€600,832
22 S. Fisher,CB,19,55,69,Dundee FC,2020 ~ 2023,€275K,€600,1213
22 J. Marshall,LB,24,65,69,Dundee FC,2019 ~ 2023,€950K,€2K,1657
22 J. Mulligan,RM,18,58,73,Dundee FC,2018 ~ 2023,€475K,€500,1472
22 M. Anderson,CM,20,61,71,Dundee FC,2019 ~ 2023,€725K,€1K,1730
C. Rowe,CB,26,57,61,Sutton United,2020 ~ 2023,€200K,€2K,1292
J. Barden,RB,29,60,60,Sutton United,2019 ~ 2023,€220K,€2K,1555
22 K. Davis,CM,33,59,59,Sutton United,2017 ~ 2022,€140K,€2K,1641
A. Lovatt,CM,23,53,61,Sutton United,2020 ~ 2023,€210K,€1K,1487
22 C. Dundas,ST,40,56,56,Sutton United,2019 ~ 2022,€0,€1K,1308
F. Chalupniczak,GK,21,51,63,Sutton United,2021 ~ 2023,€130K,€800,806
22 Higor Meritão,CM,27,65,66,Club Universidad Nacional,2021 ~ 2024,€825K,€4K,1766
S. Thangmuansang,RB,23,53,60,Odisha FC,2021 ~ 2023,€180K,€500,1266
22 M. Aguek,ST,21,52,63,Central Coast Mariners,2021 ~ 2022,€180K,€500,1245
M. Halliday,RB,19,54,70,Orlando City Soccer Club,2020 ~ 2022,€275K,€600,1332
F. Jaritz,LM,24,65,68,SK Austria Klagenfurt,2016 ~ 2024,€975K,€3K,1707
F. Markelic,CM,20,60,69,SK Austria Klagenfurt,2019 ~ 2024,€550K,€1K,1551
P. Greil,CM,25,68,71,SK Rapid Wien,2022 ~ 2025,€1.6M,€11K,1786
22 F. Freissegger,RB,20,57,66,SK Austria Klagenfurt,2019 ~ 2022,€350K,€1K,1387
22 K. Schulz,LB,21,57,62,SK Austria Klagenfurt,2020 ~ 2022,€240K,€1K,1433
M. Moreira,LB,28,64,64,SK Austria Klagenfurt,2018 ~ 2023,€525K,€3K,1637
22 I. Saravanja,CB,24,63,66,SK Austria Klagenfurt,2018 ~ 2022,€575K,€2K,1465
K. Gkezos,CB,29,65,65,SK Austria Klagenfurt,2019 ~ 2023,€600K,€3K,1575
J. Idzes,CB,22,63,69,Go Ahead Eagles,2020 ~ 2023,€700K,€2K,1637
22 Z. Eddahchouri,CAM,21,59,68,Go Ahead Eagles,2019 ~ 2022,€500K,€1K,1545
22 S. Crowther,ST,21,60,69,Go Ahead Eagles,2020 ~ 2022,€550K,€1K,1449
22 Q. Dumay,ST,20,60,67,Go Ahead Eagles,2020 ~ 2022,€500K,€1K,1518
P. Rommens,CM,24,66,71,Go Ahead Eagles,2021 ~ 2023,€1.3M,€3K,1761
F. Bacher,CB,22,63,71,WSG Tirol,2021 ~ 2023,€1M,€2K,1407
22 R. Djedje,CDM,19,56,67,Seraing,"Jun 30, 2022 On Loan",€300K,€1K,1426
22 A. Al Badaoui,CAM,25,64,68,AD Alcorcón,2021 ~ 2024,€825K,€2K,1646
22 A. Sanogo,RM,22,61,67,Seraing,2019 ~ 2022,€525K,€2K,1445
F. Draper,ST,17,56,73,Lincoln City,2020 ~ 2024,€350K,€500,1369
R. Norheim,CM,17,54,76,Tromsø IL,2020 ~ 2024,€325K,€500,1497
J. Robertsen,RWB,18,55,70,Tromsø IL,2020 ~ 2023,€275K,€500,1430
V. Backman,CF,21,58,68,Kalmar FF,2020 ~ 2023,€450K,€650,1547
A. Meekison,CM,20,59,76,Dundee United,2019 ~ 2024,€600K,€1K,1620
22 S. Øverby,CB,22,54,62,Mjøndalen IF,2021 ~ 2024,€230K,€600,1233
G. Kennedy,CDM,19,57,70,Colchester United,2021 ~ 2024,€375K,€1K,1535
22 J. Clark,RWB,19,52,68,Wycombe Wanderers,2020 ~ 2022,€200K,€800,1310
22 G. Haider,CB,19,58,73,TSG Hoffenheim,2022 ~ 2022,€450K,€2K,1340
22 C. Emeka,ST,19,60,71,KAA Gent,2021 ~ 2022,€525K,€2K,1424
N. Persson,LWB,18,58,74,Mjällby AIF,2021 ~ 2025,€500K,€500,1546
L. Valente,CAM,18,57,72,FC Groningen,2021 ~ 2023,€375K,€550,1437
22 T. de Jonge,LM,18,57,72,FC Groningen,2020 ~ 2023,€375K,€650,1418
22 J. Kleeberg,LB,19,56,68,Eintracht Braunschweig,2021 ~ 2023,€325K,€650,1426
E. Edh,RWB,19,62,76,Lillestrøm SK,2020 ~ 2024,€900K,€550,1656
22 A. Sannes,ST,19,56,68,Lillestrøm SK,2019 ~ 2022,€350K,€650,1382
M. Simba,RM,22,60,68,IFK Värnamo,2021 ~ 2024,€550K,€600,1568
M. Topuz,GK,21,55,69,MKE Ankaragücü,2020 ~ 2024,€275K,€1K,866
22 Y. Haouari,ST,18,58,72,Valenciennes FC,2022 ~ 2024,€475K,€500,1390
D. Skundrich,CM,26,58,61,D.C. United,2021 ~ 2022,€275K,€1K,1633
A. Sangante,CB,20,64,75,Le Havre AC,2021 ~ 2025,€1.2M,€1K,1495
22 J. Wells,CB,18,49,66,Middlesbrough,2021 ~ 2022,€110K,€1K,1191
T. Galván,CAM,22,66,76,Defensa y Justicia,"Dec 31, 2022 On Loan",€1.9M,€4K,1660
22 M. Andric,LB,23,60,65,WSG Tirol,2021 ~ 2025,€350K,€2K,1519
22 J. Orpik,CDM,17,53,73,Jagiellonia Białystok,2021 ~ 2022,€240K,€500,1472
22 B. Zynek,LM,19,56,66,Wisła Płock,2021 ~ 2024,€300K,€650,1364
22 M. Posmyk,CB,19,53,68,Zagłębie Lubin,2021 ~ 2024,€210K,€700,1226
22 K. Bracik,CB,20,54,66,Cracovia,2021 ~ 2024,€240K,€1K,1349
M. Wyparło,CDM,18,53,68,PGE FKS Stal Mielec,2021 ~ 2023,€210K,€500,1405
K. Tobiasz,GK,19,64,78,Legia Warszawa,2020 ~ 2026,€1.2M,€800,898
22 P. Bos,GK,24,61,65,SC Cambuur,2016 ~ 2023,€375K,€950,876
22 N. Doodeman,RW,24,65,68,SC Cambuur,2021 ~ 2023,€975K,€2K,1535
Mini,CM,23,63,72,Atlético de Madrid,2021 ~ 2023,€1.1M,€8K,1715
N. Păun,CDM,23,67,75,Sepsi OSK Sf. Gheorghe,2021 ~ 2023,€2.1M,€4K,1679
J. Assehnoun,LM,23,65,70,FC Emmen,2021 ~ 2023,€1.1M,€2K,1666
M. Epolo,GK,17,57,77,Standard de Liège,2021 ~ 2023,€400K,€500,868
B. Minnema,GK,20,56,67,SC Cambuur,2020 ~ 2023,€275K,€800,806
R. Oratmangoen,LM,24,69,73,FC Groningen,2022 ~ 2025,€2M,€4K,1583
Guilherme Soares,CB,21,61,70,SC Braga,2019 ~ 2025,€700K,€2K,1371
22 T. Son,CB,22,60,70,Sagan Tosu,2022 ~ 2023,€525K,€700,1375
22 S. Deuling,CAM,20,55,65,SC Cambuur,2021 ~ 2022,€275K,€1K,1361
A. Rodríguez,CAM,18,61,78,Club Atlético Lanús,2021 ~ 2023,€825K,€1K,1504
22 V. Poggi,CDM,18,61,71,Club Necaxa,2021 ~ 2022,€650K,€650,1584
M. Rodríguez,GK,32,66,66,Club Nacional de Football,2021 ~ 2022,€425K,€500,908
22 F. Al Azmi,LB,26,61,62,Al Hazem,2020 ~ 2024,€350K,€3K,1591
22 A. Al Harthi,RW,22,57,64,Al Hazem,2020 ~ 2022,€325K,€3K,1432
B. Old,CAM,19,60,74,Wellington Phoenix,2018 ~ 2024,€575K,€500,1633
22 A. Lloyd,ST,18,51,70,Queens Park Rangers,2021 ~ 2024,€150K,€1K,1267
R. De Reuck,CB,26,68,73,Mamelodi Sundowns FC,2021 ~ 2025,€1.6M,€500,1631
F. Balaj,ST,24,62,66,Cracovia,2021 ~ 2024,€575K,€2K,1567
22 T. Dogan,CAM,22,48,52,Dundalk FC,2021 ~ 2021,€70K,€550,1392
22 I. Vekič,GK,23,62,68,FC Paços de Ferreira,2021 ~ 2022,€500K,€1K,1010
21 K. Cimenti,ST,21,55,63,Macarthur FC,2021 ~ 2021,€275K,€500,1325
Rubén Alves,CB,27,66,69,Racing Santander,2022 ~ 2024,€975K,€3K,1619
22 I. Chaira,CAM,19,62,72,Girona FC,2020 ~ 2022,€850K,€1K,1586
Davo,LM,27,68,68,Wisła Płock,2022 ~ 2024,€1.3M,€3K,1760
Rodado,ST,25,65,70,UD Ibiza,2018 ~ 2023,€1.1M,€2K,1604
22 F. Ventura,RB,21,61,70,LDU Quito,2019 ~ 2022,€700K,€500,1537
22 J. Troya,RM,20,59,70,LDU Quito,2019 ~ 2022,€500K,€500,1492
22 P. Barraza,CAM,20,59,67,Club Atlético Central Córdoba,2018 ~ 2023,€500K,€2K,1502
22 A. Delferriere,CB,19,57,72,Hibernian,2022 ~ 2024,€375K,€700,1326
Y. Pandor,GK,21,59,67,Racing Club de Lens,2021 ~ 2023,€450K,€2K,873
21 Y. Kembo Diantela,CB,18,57,66,Racing Club de Lens,2021 ~ 2024,€325K,€1K,1225
22 J. Varane,CDM,19,62,74,Rodez Aveyron Football,"Jun 30, 2022 On Loan",€900K,€2K,1609
22 E. Henriksson,GK,18,53,68,HJK Helsinki,2022 ~ 2023,€190K,€500,1088
L. Cross,CM,19,53,65,Northampton Town,2021 ~ 2023,€220K,€2K,1516
21 R. Marques,GK,20,53,63,FC Chambly Oise,2021 ~ 2024,€180K,€500,865
